zone_name,zone_id,capacity,type
Zone_245,245,-1,0
Zone_246,246,-1,0
Zone_247,247,-1,0
Zone_248,248,-1,0
Zone_249,249,-1,0
Zone_250,250,-1,0
Zone_251,251,-1,1
Zone_252,252,-1,0
Zone_253,253,-1,0
Zone_254,254,-1,0
Zone_255,255,-1,0
Zone_256,256,-1,0
Zone_257,257,-1,0
Zone_258,258,-1,0
Zone_259,259,-1,0
Zone_260,260,-1,0
Zone_261,261,-1,0
Zone_262,262,-1,0
Zone_263,263,-1,0
Zone_264,264,-1,0
Zone_265,265,-1,0
Zone_266,266,-1,0
Zone_267,267,-1,0
Zone_268,268,-1,0
Zone_269,269,-1,0
Zone_270,270,-1,0
Zone_271,271,-1,0
Zone_272,272,-1,0
Zone_273,273,-1,0
Zone_274,274,-1,0
Zone_275,275,-1,0
Zone_276,276,-1,0
Zone_277,277,-1,0
Zone_278,278,-1,0
Zone_279,279,-1,0
Zone_280,280,-1,0
Zone_281,281,-1,0
Zone_282,282,-1,0
Zone_283,283,-1,0
Zone_284,284,-1,0
Zone_285,285,-1,0
Zone_286,286,-1,0
Zone_287,287,-1,0
Zone_288,288,-1,0
Zone_289,289,-1,0
Zone_290,290,-1,0
Zone_291,291,-1,0
Zone_292,292,-1,0
Zone_293,293,-1,0
Zone_294,294,-1,0
Zone_295,295,-1,0
Zone_296,296,-1,0
Zone_297,297,-1,0
Zone_298,298,-1,0
Zone_299,299,-1,0
Zone_300,300,-1,0
Zone_301,301,-1,0
Zone_302,302,-1,0
Zone_303,303,-1,0
Zone_304,304,-1,0
Zone_305,305,-1,0
Zone_306,306,-1,0
Zone_307,307,-1,0
Zone_308,308,-1,0
Zone_309,309,-1,0
Zone_310,310,-1,0
Zone_311,311,-1,0
Zone_312,312,-1,0
Zone_313,313,-1,0
Zone_314,314,-1,0
Zone_315,315,-1,0
Zone_316,316,-1,0
Zone_317,317,-1,0
Zone_318,318,-1,0
Zone_319,319,-1,0
Zone_320,320,-1,1
Zone_321,321,-1,1
Zone_322,322,-1,0
Zone_323,323,-1,0
Zone_324,324,-1,0
Zone_325,325,-1,0
Zone_326,326,-1,0
Zone_327,327,-1,0
Zone_328,328,-1,0
Zone_329,329,-1,0
Zone_330,330,-1,0
Zone_331,331,-1,0
Zone_332,332,-1,0
Zone_333,333,-1,0
Zone_334,334,-1,0
Zone_335,335,-1,0
Zone_336,336,-1,0
Zone_337,337,-1,0
Zone_338,338,-1,0
Zone_339,339,-1,0
Zone_340,340,-1,0
Zone_341,341,-1,0
Zone_342,342,-1,0
Zone_343,343,-1,0
Zone_344,344,-1,0
Zone_345,345,-1,0
Zone_346,346,-1,0
Zone_347,347,-1,0
Zone_348,348,-1,0
Zone_349,349,-1,0
Zone_350,350,-1,0
Zone_351,351,-1,0
Zone_352,352,-1,0
Zone_353,353,-1,0
Zone_354,354,-1,0
Zone_355,355,-1,0
Zone_356,356,-1,0
Zone_357,357,-1,0
Zone_358,358,-1,0
Zone_359,359,-1,0
Zone_360,360,-1,0
Zone_361,361,-1,0
Zone_362,362,-1,0
Zone_363,363,-1,0
Zone_364,364,-1,0
Zone_365,365,-1,0
Zone_366,366,-1,0
Zone_367,367,-1,0
Zone_368,368,-1,0
Zone_369,369,-1,0
Zone_370,370,-1,0
Zone_371,371,-1,0
Zone_372,372,-1,0
Zone_373,373,-1,0
Zone_374,374,-1,0
Zone_375,375,-1,0
Zone_376,376,-1,0
Zone_377,377,-1,0
Zone_378,378,-1,0
Zone_379,379,-1,0
Zone_380,380,-1,1
Zone_381,381,-1,0
Zone_382,382,-1,0
Zone_383,383,-1,0
Zone_384,384,-1,0
Zone_385,385,-1,0
Zone_386,386,-1,0
Zone_387,387,-1,0
Zone_388,388,-1,0
Zone_389,389,-1,0
Zone_390,390,-1,0
Zone_391,391,-1,0
Zone_392,392,-1,0
Zone_393,393,-1,0
Zone_394,394,-1,0
Zone_395,395,-1,0
Zone_396,396,-1,0
Zone_397,397,-1,0
Zone_398,398,-1,0
Zone_399,399,-1,0
Zone_400,400,-1,0
Zone_401,401,-1,0
Zone_402,402,-1,0
Zone_403,403,-1,0
Zone_404,404,-1,0
Zone_405,405,-1,0
Zone_406,406,-1,0
Zone_407,407,-1,0
Zone_408,408,-1,0
Zone_409,409,-1,0
Zone_410,410,-1,0
Zone_411,411,-1,0
Zone_412,412,-1,0
Zone_413,413,-1,0
Zone_414,414,-1,0
Zone_415,415,-1,0
Zone_416,416,-1,0
Zone_417,417,-1,0
Zone_418,418,-1,0
Zone_419,419,-1,0
Zone_420,420,-1,0
Zone_421,421,-1,0
Zone_422,422,-1,0
Zone_423,423,-1,0
Zone_424,424,-1,0
Zone_425,425,-1,0
Zone_426,426,-1,0
Zone_427,427,-1,0
Zone_428,428,-1,0
Zone_429,429,-1,0
Zone_430,430,-1,0
Zone_431,431,-1,0
Zone_432,432,-1,0
Zone_433,433,-1,0
Zone_434,434,-1,0
Zone_435,435,-1,0
Zone_436,436,-1,0
Zone_437,437,-1,0
Zone_438,438,-1,0
Zone_439,439,-1,0
Zone_440,440,-1,0
Zone_441,441,-1,0
Zone_442,442,-1,0
Zone_443,443,-1,0
Zone_444,444,-1,0
Zone_445,445,-1,0
Zone_446,446,-1,0
Zone_447,447,-1,0
Zone_448,448,-1,0
Zone_449,449,-1,0
Zone_450,450,-1,0
Zone_451,451,-1,0
Zone_452,452,-1,0
Zone_453,453,-1,0
Zone_454,454,-1,0
Zone_455,455,-1,0
Zone_456,456,-1,0
Zone_457,457,-1,0
Zone_458,458,-1,0
Zone_459,459,-1,0
Zone_460,460,-1,0
Zone_461,461,-1,0
Zone_462,462,-1,0
Zone_463,463,-1,0
Zone_464,464,-1,0
Zone_465,465,-1,0
Zone_466,466,-1,0
Zone_467,467,-1,0
Zone_468,468,-1,0
Zone_469,469,-1,0
Zone_470,470,-1,0
Zone_471,471,-1,0
Zone_472,472,-1,0
Zone_473,473,-1,0
Zone_474,474,-1,0
Zone_475,475,-1,0
Zone_476,476,-1,0
Zone_477,477,-1,0
Zone_478,478,-1,0
Zone_479,479,-1,0
Zone_480,480,-1,0
Zone_481,481,-1,0
Zone_482,482,-1,0
